Test name,P2/Pintos group ID (anonymized),Log file name,Bug found?,Total verif?,Bug wall time (usecs),Bug CPU time (usecs),Eligible for sync-only verif?,Verif CPU time (usecs),Completed PPs,Completed SSes,Malloc-recycle PPs avoided,Bug type,,
mutex_test,promethium,ls-id-log-20151030161753.log.Wzhoq1.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,rhenium,ls-id-log-20151030161753.log.s5KpeY.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,rhodium,ls-id-log-20151030150502.log.6yOD2c.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,rubidium,ls-id-log-20151030161758.log.QcyLWz.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,ruthenium,ls-id-log-20151030161803.log.tfjUql.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,samarium,ls-id-log-20151030161755.log.2rIliY.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,scandium,ls-id-log-20151030154512.log.Brf9o4.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,selenium,ls-id-log-20151030145758.log.Ew6hov.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,silicon,ls-id-log-20151030145504.log.Gjhsa6.gz,0,0,,,(QS had DR PPs),,2,4,3,,,
mutex_test,silver,ls-id-log-20151030160504.log.ZiXJxv.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,sodium,ls-id-log-20151030145258.log.cDyKEv.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,strontium,ls-id-log-20151030161519.log.LHPrVO.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,sulfur,ls-id-log-20151030194849.log.vDkjCL.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,tantalum,ls-id-log-20151030153101.log.SIEuCO.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,technetium,ls-id-log-20151030161517.log.pKVtTA.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,tellurium,ls-id-log-20151030145343.log.FSk4va.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,terbium,ls-id-log-20151030161800.log.lPPP9h.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,thulium,ls-id-log-20151030150341.log.fv7Jtf.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,tin,ls-id-log-20151030161759.log.gdThn6.gz,0,0,,,(QS had DR PPs),,2,4,1,,,
mutex_test,titanium,ls-id-log-20151030161637.log.dMsXuo.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,tungsten,ls-id-log-20151030171956.log.yUI9ST.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,vanadium,ls-id-log-20151030145305.log.FASPaL.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,xenon,ls-id-log-20151030161514.log.BssVVc.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,ytterbium,ls-id-log-20151030161639.log.wwjbH9.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,yttrium,ls-id-log-20151030161635.log.7n3Vt0.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
mutex_test,zinc,ls-id-log-20151030144015.log.QUTWVT.gz,1,0,19720600,44127189,,,2,3,0,,,
mutex_test,zirconium,ls-id-log-20151030161514.log.rpS98l.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
paradise_lost (aka sem),aluminum,ls-id-log-20160510203834.log.rXijbh.gz,0,0,,,(QS had DR PPs),,2,4,1,,,
paradise_lost (aka sem),antimony,ls-id-log-20160513000454.log.uhDgmF.gz,0,0,,,(QS had DR PPs),,0,1,1,,,
paradise_lost (aka sem),argon,ls-id-log-20160510094310.log.Te4tkG.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
paradise_lost (aka sem),arsenic,ls-id-log-20160513015016.log.JAKsAz.gz,1,0,24891605,66981742,,,1,2,2,,,
paradise_lost (aka sem),barium,ls-id-log-20160510122355.log.zkKSl7.gz,0,0,,,(QS had DR PPs),,0,1,1,,,
paradise_lost (aka sem),beryllium,ls-id-log-20160511231612.log.x2M5pt.gz,0,0,,,(QS had DR PPs),,0,1,0,,,
paradise_lost (aka sem),boron,ls-id-log-20160510225221.log.XVTP3i.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
paradise_lost (aka sem),bromine,ls-id-log-20160510214031.log.VjSdqO.gz,0,0,,,(QS had DR PPs),,2,4,0,,,
paradise_lost (aka sem),cadmium,ls-id-log-20160510070921.log.MTAsjl.gz,0,0,,,(QS had DR PPs),,2,3,0,,,
