Test name,P2/Pintos group ID (anonymized),Log file name,Bug found?,Data-race (DR) PPs needed?,Total verif?,Bug wall time (usecs),Bug CPU time (usecs),Verif CPU time (usecs),Completed DR PPs,Total DR PPs,Untested DR PPs,Completed PPs,Completed SSes,Malloc-recycle PPs avoided,Bug type,,,,,,
mutex_test,helium,ls-id-log-20160630223359.log.hlhVx9.gz,0,0,1,,,722868482,4,4,0,6,39,0,,,,,,,
mutex_test,holmium,ls-id-log-20160701004102.log.bgOsyL.gz,0,0,1,,,679270310,4,4,0,6,45,0,,,,,,,
mutex_test,hydrogen,ls-id-log-20160701025255.log.uVfJvw.gz,0,0,0,,,,23,23,0,25,1482,1,,,,,,,
mutex_test,indium,ls-id-log-20160630235901.log.MeTvks.gz,0,0,0,,,,27,27,0,29,859,0,,,,,,,
mutex_test,iodine,ls-id-log-20160701082615.log.MF22l3.gz,0,0,0,,,,37,38,1,40,149,0,,,,,,,
mutex_test,iridium,ls-id-log-20160701081100.log.IcHhrz.gz,0,0,1,,,544067652,7,7,0,9,322,0,,,,,,,
mutex_test,iron,ls-id-log-20160701084025.log.TWoYqk.gz,0,0,1,,,784084994,2,2,0,4,15,0,,,,,,,
mutex_test,kyrpton,ls-id-log-20160701103017.log.7Hycrl.gz,0,0,0,,,,24,24,0,26,1088,0,,,,,,,
mutex_test,lanthanum,ls-id-log-20160701045349.log.vdXdWm.gz,0,0,1,,,594001379,6,6,0,8,241,0,,,,,,,
mutex_test,lithium,ls-id-log-20160701071926.log.F0ObEJ.gz,1,1,0,112524913,799877032,,27,30,3,32,847,0,bugtype [multiple],TID 4 was killed by a page fault! (Faulting eip: 0x1000498; addr: 0x4),TID 5 was killed by a page fault! (Faulting eip: 0x1000498; addr: 0x4),,,,
mutex_test,lutetium,ls-id-log-20160702032651.log.EQII0e.gz,0,0,0,,,,5,5,0,7,73,0,,,,,,,
mutex_test,magnesium,ls-id-log-20160702031434.log.rJaDJt.gz,0,0,0,,,,10,10,0,12,1794,0,,,,,,,
mutex_test,manganese,ls-id-log-20160701185352.log.nNnpOn.gz,1,1,0,32937325,147941493,,18,18,0,20,948,0,bugtype Deadlock -- no threads are runnable!,,,,,,
mutex_test,molybdenum,ls-id-log-20160630182549.log.51lPsd.gz,0,0,1,,,571306322,1,1,0,3,8,0,,,,,,,
mutex_test,neodymium,ls-id-log-20160701184956.log.QkAblx.gz,0,0,0,,,,5,5,0,7,76,0,,,,,,,
mutex_test,neon,ls-id-log-20160630182520.log.UumYSM.gz,0,0,1,,,784642165,2,2,0,4,15,0,,,,,,,
mutex_test,nickel,ls-id-log-20160701044411.log.w8vQbS.gz,1,1,0,59876902,340375313,,29,37,8,38,775,2,bugtype [multiple],TID 4 was killed by a page fault! (Faulting eip: 0x10010d8; addr: 0x0),TID 5 was killed by a page fault! (Faulting eip: 0x1000f2a; addr: 0x4),TID 5 was killed by a page fault! (Faulting eip: 0x10010d8; addr: 0x0),USE AFTER FREE,,
mutex_test,niobium,ls-id-log-20160701163012.log.Sb9goW.gz,0,0,1,,,724702586,4,4,0,6,45,0,,,,,,,
mutex_test,nitrogen,ls-id-log-20160630192712.log.vQx9So.gz,0,0,0,,,,45,45,0,47,1451,0,,,,,,,
mutex_test,osmium,ls-id-log-20160630182611.log.9eDHcZ.gz,0,0,0,,,,10,10,0,12,918,0,,,,,,,
mutex_test,oxygen,ls-id-log-20160701180849.log.YFTwkb.gz,0,0,0,,,,15,15,0,17,951,0,,,,,,,
mutex_test,palladium,ls-id-log-20160701120437.log.c7yhPW.gz,0,0,0,,,,37,37,0,39,1328,0,,,,,,,
mutex_test,phosphorus,ls-id-log-20160701210055.log.CBl1ko.gz,1,1,0,26598879,87730937,,100,101,1,103,1637,0,bugtype Deadlock -- no threads are runnable!,,,,,,
mutex_test,platinum,ls-id-log-20160630201306.log.PcPUPu.gz,0,0,1,,,714522985,7,7,0,9,296,0,,,,,,,
mutex_test,potassium,ls-id-log-20160701065935.log.te9PY7.gz,0,0,0,,,,49,49,0,51,1366,0,,,,,,,
mutex_test,praseodymium,ls-id-log-20160630192809.log.zWH7SH.gz,0,0,1,,,673241763,4,4,0,6,45,0,,,,,,,
mutex_test,promethium,ls-id-log-20160701095329.log.GWpU8v.gz,0,0,0,,,,7,7,0,9,284,0,,,,,,,
mutex_test,rhenium,ls-id-log-20160701164323.log.iy6nbw.gz,0,0,0,,,,13,13,0,15,934,0,,,,,,,
mutex_test,rhodium,ls-id-log-20160701063533.log.xqJ0ao.gz,0,0,1,,,660427236,2,2,0,4,13,0,,,,,,,
